observation_id,observation_date,surveyor_id,surveyor_name,location_name,region,sector_id,n_observed,w_observed,s_observed,n_canonical,w_canonical,s_canonical,variance_n,variance_w,variance_s,total_variance,stability_class,surveyor_reliability,instrument_id,weather_conditions,notes
GCO-02432,1842-02-25,SV-26,Norris Vale,Little Yard,Capital,NW-6,44.214,3.78,14.652,46.115,3.94,14.659,-1.901,-0.16,-0.007,1.907,STABLE,0.801,COMP-014,cloudy,Reference marker missing or damaged
GCO-03509,1842-02-26,SV-17,Varian Kess,Little Yard,Capital,NW-6,46.423,3.251,14.62,46.115,3.94,14.659,0.308,-0.689,-0.039,0.756,STABLE,0.766,COMP-007,clear,
GCO-02357,1842-02-27,SV-11,Erris Dann,Little Yard,Capital,NW-6,46.67,3.598,14.303,46.115,3.94,14.659,0.555,-0.342,-0.356,0.743,STABLE,0.766,COMP-010,rain,
GCO-03965,1842-03-01,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,44.903,3.757,13.972,46.115,3.94,14.659,-1.212,-0.183,-0.687,1.405,STABLE,0.852,COMP-036,rain,
GCO-04367,1842-03-01,SV-14,Levin Cross,Little Yard,Capital,NW-6,47.486,4.763,15.109,46.115,3.94,14.659,1.371,0.823,0.45,1.661,STABLE,0.76,COMP-021,storm,
GCO-01466,1842-03-06,SV-11,Erris Dann,East Square,Capital,NW-2,37.615,49.598,43.154,38.653,49.261,42.766,-1.038,0.337,0.388,1.159,STABLE,0.766,COMP-015,clear,
GCO-03668,1842-03-07,SV-07,Rellen Foss,Wharf (Capital),Capital,NW-6,38.66,11.708,1.777,38.8,11.452,1.605,-0.14,0.255,0.171,0.338,STABLE,0.968,COMP-021,rain,Surveyor reports difficulty
GCO-00385,1842-03-08,SV-26,Norris Vale,Little Yard,Capital,NW-6,46.394,2.544,14.74,46.115,3.94,14.659,0.279,-1.396,0.081,1.426,STABLE,0.801,COMP-013,cloudy,
GCO-02202,1842-03-08,SV-13,Anster Cole,Little Yard,Capital,NW-6,46.174,4.144,15.227,46.115,3.94,14.659,0.06,0.204,0.568,0.607,STABLE,0.708,COMP-038,clear,
GCO-03949,1842-03-08,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,44.673,6.306,16.695,46.115,3.94,14.659,-1.442,2.366,2.036,3.438,MODERATE,0.892,COMP-028,rain,
GCO-04614,1842-03-10,SV-11,Erris Dann,Little Yard,Capital,NW-6,45.496,3.588,14.382,46.115,3.94,14.659,-0.619,-0.352,-0.277,0.764,STABLE,0.766,COMP-039,clear,
GCO-02854,1842-03-11,SV-14,Levin Cross,Little Yard,Capital,NW-6,45.71,3.442,15.686,46.115,3.94,14.659,-0.404,-0.498,1.027,1.211,STABLE,0.76,COMP-023,clear,
GCO-00726,1842-03-12,SV-12,Pemlik Vorn,Little Yard,Capital,NW-6,46.191,4.406,13.94,46.115,3.94,14.659,0.077,0.466,-0.719,0.86,STABLE,0.852,COMP-034,clear,
GCO-00624,1842-03-13,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,47.64,4.185,14.275,46.115,3.94,14.659,1.525,0.245,-0.384,1.592,MODERATE,0.892,COMP-032,clear,
GCO-03439,1842-03-22,SV-10,Kella Tross,Little Exchange (Capital),Capital,NW-2,7.566,17.265,33.273,8.133,17.764,33.509,-0.566,-0.499,-0.235,0.79,STABLE,0.709,COMP-013,clear,
GCO-04560,1842-03-25,SV-20,Torren Voss,Wharf (Capital),Capital,NW-6,39.724,11.313,0.938,38.8,11.452,1.605,0.924,-0.139,-0.667,1.148,STABLE,0.702,COMP-015,clear,
GCO-00955,1842-03-27,SV-06,Sareth Vell,Little Yard,Capital,NW-6,46.153,4.135,14.152,46.115,3.94,14.659,0.039,0.195,-0.507,0.544,STABLE,0.903,COMP-029,cloudy,
GCO-04553,1842-03-29,SV-13,Anster Cole,Little Yard,Capital,NW-6,46.486,4.781,14.342,46.115,3.94,14.659,0.371,0.841,-0.317,0.973,STABLE,0.708,COMP-033,clear,
GCO-00657,1842-04-01,SV-13,Anster Cole,East Square,Capital,NW-2,39.19,48.123,44.253,38.653,49.261,42.766,0.537,-1.138,1.488,1.948,STABLE,0.708,COMP-042,cloudy,
GCO-03334,1842-04-03,SV-21,Mellen Pike,Little Yard,Capital,NW-6,46.338,4.031,13.986,46.115,3.94,14.659,0.223,0.091,-0.673,0.715,STABLE,0.942,COMP-003,cloudy,
GCO-00728,1842-04-09,SV-13,Anster Cole,Little Yard,Capital,NW-6,45.56,4.289,14.491,46.115,3.94,14.659,-0.554,0.349,-0.168,0.676,STABLE,0.708,COMP-019,clear,
GCO-00166,1842-04-10,SV-13,Anster Cole,Little Yard,Capital,NW-6,46.16,2.558,15.209,46.115,3.94,14.659,0.046,-1.382,0.55,1.488,STABLE,0.708,COMP-002,rain,
GCO-01074,1842-04-11,SV-25,Terris Bloom,Little Yard,Capital,NW-6,46.218,3.566,13.74,46.115,3.94,14.659,0.103,-0.374,-0.919,0.997,STABLE,0.987,COMP-012,clear,
GCO-04089,1842-04-11,SV-28,Varren Hill,Little Yard,Capital,NW-6,46.832,4.217,16.269,46.115,3.94,14.659,0.717,0.277,1.61,1.784,STABLE,0.729,COMP-043,rain,
GCO-04419,1842-04-13,SV-21,Mellen Pike,Little Yard,Capital,NW-6,45.596,3.959,14.237,46.115,3.94,14.659,-0.519,0.019,-0.422,0.669,STABLE,0.942,COMP-040,cloudy,
GCO-02332,1842-04-16,SV-08,Tessyn Ward,Lower Yard (Capital),Capital,NW-9,7.324,18.985,48.435,8.17,18.973,49.476,-0.846,0.012,-1.041,1.342,STABLE,0.726,COMP-044,clear,
GCO-02523,1842-04-19,SV-22,Garris Stone,Little Yard,Capital,NW-6,46.121,1.941,18.646,46.115,3.94,14.659,0.006,-1.999,3.987,4.46,MODERATE,0.909,COMP-033,cloudy,
GCO-03664,1842-04-19,SV-15,Darren Pol,Exchange (Densmok),Densmok,NW-1,149.708,74.205,189.132,150.541,75.112,190.816,-0.832,-0.907,-1.684,2.086,STABLE,0.895,COMP-024,clear,
GCO-00660,1842-04-20,SV-10,Kella Tross,Little Yard,Capital,NW-6,47.31,2.2,13.88,46.115,3.94,14.659,1.195,-1.74,-0.778,2.25,STABLE,0.709,COMP-015,cloudy,
GCO-03192,1842-04-20,SV-26,Norris Vale,Little Exchange (Capital),Capital,NW-2,8.27,17.744,34.262,8.133,17.764,33.509,0.137,-0.02,0.753,0.766,STABLE,0.801,COMP-019,clear,
GCO-04521,1842-04-20,SV-16,Hellis Mord,East Square,Capital,NW-2,38.214,48.649,41.624,38.653,49.261,42.766,-0.44,-0.612,-1.141,1.368,STABLE,0.863,COMP-003,rain,
GCO-03557,1842-04-21,SV-11,Erris Dann,Little Exchange (Capital),Capital,NW-2,8.953,16.106,34.124,8.133,17.764,33.509,0.82,-1.657,0.615,1.949,STABLE,0.766,COMP-030,fog,
GCO-02061,1842-04-23,SV-26,Norris Vale,Little Tower,Capital,NW-7,12.324,27.861,14.604,12.331,28.068,13.137,-0.007,-0.208,1.467,1.482,MODERATE,0.801,COMP-049,clear,
GCO-04449,1842-04-24,SV-06,Sareth Vell,Little Yard,Capital,NW-6,46.476,3.973,14.35,46.115,3.94,14.659,0.361,0.033,-0.309,0.476,STABLE,0.903,COMP-025,rain,
GCO-02290,1842-04-26,SV-13,Anster Cole,Little Yard,Capital,NW-6,47.987,3.439,14.047,46.115,3.94,14.659,1.872,-0.501,-0.612,2.032,STABLE,0.708,COMP-019,fog,
GCO-02828,1842-04-30,SV-10,Kella Tross,Lower Yard (Capital),Capital,NW-9,7.925,19.658,49.708,8.17,18.973,49.476,-0.246,0.685,0.232,0.764,STABLE,0.709,COMP-041,cloudy,
GCO-04083,1842-04-30,SV-24,Kellin Ward,Basin (Capital),Capital,NW-8,48.035,26.474,5.737,48.899,26.635,6.288,-0.865,-0.161,-0.551,1.038,STABLE,0.747,COMP-018,clear,
GCO-00663,1842-05-01,SV-29,Corren Dale,Little Yard,Capital,NW-6,46.043,4.01,14.891,46.115,3.94,14.659,-0.071,0.07,0.233,0.253,STABLE,0.954,COMP-010,clear,
GCO-03976,1842-05-01,SV-09,Archon Mills,Lower Yard (Capital),Capital,NW-9,7.847,19.037,49.488,8.17,18.973,49.476,-0.323,0.065,0.012,0.33,STABLE,0.827,COMP-005,fog,
GCO-04432,1842-05-01,SV-13,Anster Cole,Little Yard,Capital,NW-6,44.111,3.106,14.594,46.115,3.94,14.659,-2.004,-0.834,-0.065,2.172,STABLE,0.708,COMP-021,rain,
GCO-00560,1842-05-04,SV-06,Sareth Vell,Little Yard,Capital,NW-6,45.818,4.451,14.463,46.115,3.94,14.659,-0.297,0.511,-0.196,0.623,STABLE,0.903,COMP-014,cloudy,
GCO-04618,1842-05-06,SV-22,Garris Stone,Little Yard,Capital,NW-6,46.802,5.217,15.023,46.115,3.94,14.659,0.688,1.277,0.364,1.495,STABLE,0.909,COMP-030,clear,
GCO-03098,1842-05-08,SV-11,Erris Dann,Inner Landing,Capital,NW-1,50.269,25.789,4.927,49.877,25.476,4.545,0.392,0.312,0.381,0.63,STABLE,0.766,COMP-016,cloudy,
GCO-02139,1842-05-11,SV-04,Pella Morse,Little Yard,Capital,NW-6,46.044,3.039,14.617,46.115,3.94,14.659,-0.071,-0.901,-0.042,0.904,STABLE,0.767,COMP-027,clear,
GCO-02940,1842-05-15,SV-18,Sollis Hern,Little Yard,Capital,NW-6,46.288,3.58,14.745,46.115,3.94,14.659,0.173,-0.36,0.086,0.409,STABLE,0.877,COMP-044,cloudy,
GCO-04280,1842-05-16,SV-16,Hellis Mord,Little Yard,Capital,NW-6,45.632,5.092,15.516,46.115,3.94,14.659,-0.483,1.152,0.857,1.515,STABLE,0.863,COMP-038,rain,
GCO-01452,1842-05-17,SV-14,Levin Cross,Little Exchange (Capital),Capital,NW-2,8.235,16.922,33.6,8.133,17.764,33.509,0.102,-0.842,0.091,0.853,STABLE,0.76,COMP-029,cloudy,
GCO-01003,1842-05-18,SV-12,Pemlik Vorn,East Square,Capital,NW-2,38.482,50.177,42.437,38.653,49.261,42.766,-0.171,0.916,-0.328,0.988,STABLE,0.852,COMP-001,clear,Located reference marker
GCO-01769,1842-05-18,SV-09,Archon Mills,Little Exchange (Capital),Capital,NW-2,8.246,17.622,33.186,8.133,17.764,33.509,0.114,-0.141,-0.323,0.37,STABLE,0.827,COMP-036,cloudy,
GCO-01936,1842-05-19,SV-18,Sollis Hern,Little Yard,Capital,NW-6,45.448,4.657,14.414,46.115,3.94,14.659,-0.667,0.717,-0.245,1.009,STABLE,0.877,COMP-002,clear,
GCO-02845,1842-05-19,SV-23,Pellin Marsh,Little Yard,Capital,NW-6,45.782,2.992,17.285,46.115,3.94,14.659,-0.333,-0.948,2.626,2.812,MODERATE,0.802,COMP-027,clear,Anomalous magnetic interference noted
GCO-04132,1842-05-20,SV-23,Pellin Marsh,Little Yard,Capital,NW-6,46.043,4.168,15.225,46.115,3.94,14.659,-0.072,0.228,0.566,0.615,STABLE,0.802,COMP-042,clear,Standard conditions
GCO-00893,1842-05-25,SV-09,Archon Mills,Little Yard,Capital,NW-6,46.556,4.513,14.697,46.115,3.94,14.659,0.441,0.573,0.038,0.724,STABLE,0.827,COMP-025,clear,
GCO-00991,1842-05-26,SV-25,Terris Bloom,Little Yard,Capital,NW-6,45.049,4.673,14.465,46.115,3.94,14.659,-1.065,0.733,-0.194,1.308,STABLE,0.987,COMP-048,clear,
GCO-02270,1842-05-26,SV-03,Vornis Keth,Hall,Densmok,NE-4,106.842,135.705,139.597,106.796,136.182,140.378,0.046,-0.477,-0.78,0.915,STABLE,0.783,COMP-010,cloudy,
GCO-02642,1842-05-28,SV-11,Erris Dann,Little Yard,Capital,NW-6,45.111,2.53,16.251,46.115,3.94,14.659,-1.003,-1.41,1.592,2.351,MODERATE,0.766,COMP-022,cloudy,
GCO-04082,1842-05-30,SV-17,Varian Kess,East Square,Capital,NW-2,37.158,49.213,42.407,38.653,49.261,42.766,-1.495,-0.048,-0.359,1.538,STABLE,0.766,COMP-021,cloudy,
GCO-02289,1842-06-01,SV-06,Sareth Vell,Little Yard,Capital,NW-6,46.571,3.371,14.765,46.115,3.94,14.659,0.456,-0.569,0.106,0.737,STABLE,0.903,COMP-027,cloudy,
GCO-00377,1842-06-07,SV-16,Hellis Mord,Little Yard,Capital,NW-6,45.499,3.888,15.745,46.115,3.94,14.659,-0.616,-0.052,1.086,1.249,STABLE,0.863,COMP-037,clear,
GCO-04374,1842-06-10,SV-10,Kella Tross,East Square,Capital,NW-2,39.752,49.198,43.541,38.653,49.261,42.766,1.098,-0.063,0.775,1.346,STABLE,0.709,COMP-016,cloudy,
GCO-00685,1842-06-12,SV-15,Darren Pol,East Plaza (Capital),Capital,NW-8,28.562,36.021,10.293,28.359,35.896,10.631,0.203,0.125,-0.338,0.414,STABLE,0.895,COMP-039,clear,
GCO-04038,1842-06-14,SV-27,Sellin Brook,Little Yard,Capital,NW-6,44.302,3.6,15.238,46.115,3.94,14.659,-1.813,-0.34,0.579,1.933,STABLE,0.728,COMP-013,fog,
GCO-00731,1842-06-15,SV-16,Hellis Mord,Wharf (Capital),Capital,NW-6,38.674,10.476,1.672,38.8,11.452,1.605,-0.126,-0.977,0.067,0.987,STABLE,0.863,COMP-007,clear,
GCO-00057,1842-06-16,SV-22,Garris Stone,Little Yard,Capital,NW-6,46.03,4.637,15.636,46.115,3.94,14.659,-0.085,0.697,0.977,1.204,STABLE,0.909,COMP-050,fog,
GCO-04289,1842-06-19,SV-13,Anster Cole,Little Yard,Capital,NW-6,46.472,5.032,13.922,46.115,3.94,14.659,0.357,1.092,-0.737,1.365,STABLE,0.708,COMP-022,clear,
GCO-00505,1842-06-23,SV-17,Varian Kess,Little Yard,Capital,NW-6,45.002,3.997,14.435,46.115,3.94,14.659,-1.113,0.057,-0.224,1.137,STABLE,0.766,COMP-037,cloudy,
GCO-01985,1842-06-23,SV-22,Garris Stone,Little Yard,Capital,NW-6,45.96,3.454,14.443,46.115,3.94,14.659,-0.155,-0.486,-0.216,0.554,STABLE,0.909,COMP-015,clear,
GCO-04712,1842-06-28,SV-16,Hellis Mord,Little Yard,Capital,NW-6,45.887,4.123,15.429,46.115,3.94,14.659,-0.228,0.183,0.77,0.823,STABLE,0.863,COMP-045,clear,Equipment recalibrated
GCO-01843,1842-06-29,SV-20,Torren Voss,Little Yard,Capital,NW-6,46.615,3.092,14.347,46.115,3.94,14.659,0.5,-0.848,-0.312,1.033,STABLE,0.702,COMP-004,cloudy,
GCO-04887,1842-06-30,SV-07,Rellen Foss,Little Yard,Capital,NW-6,45.783,4.158,14.865,46.115,3.94,14.659,-0.332,0.218,0.206,0.448,STABLE,0.968,COMP-049,clear,Surveyor reports difficulty
GCO-03867,1842-07-02,SV-28,Varren Hill,Little Yard,Capital,NW-6,46.307,4.451,13.875,46.115,3.94,14.659,0.192,0.511,-0.784,0.956,STABLE,0.729,COMP-012,cloudy,Equipment recalibrated
GCO-04118,1842-07-02,SV-30,Merris Glen,Little Yard,Capital,NW-6,45.574,4.086,14.591,46.115,3.94,14.659,-0.541,0.146,-0.068,0.565,STABLE,0.881,COMP-004,rain,
GCO-04777,1842-07-03,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,44.987,3.642,14.178,46.115,3.94,14.659,-1.127,-0.298,-0.481,1.262,STABLE,0.892,COMP-033,fog,
GCO-04336,1842-07-04,SV-25,Terris Bloom,East Square,Capital,NW-2,39.043,48.403,42.456,38.653,49.261,42.766,0.389,-0.858,-0.31,0.992,STABLE,0.987,COMP-004,rain,
GCO-01172,1842-07-06,SV-14,Levin Cross,Little Yard,Capital,NW-6,46.888,3.644,14.011,46.115,3.94,14.659,0.773,-0.296,-0.648,1.051,STABLE,0.76,COMP-047,cloudy,
GCO-01506,1842-07-07,SV-10,Kella Tross,Lower Yard (Capital),Capital,NW-9,6.656,19.673,49.411,8.17,18.973,49.476,-1.514,0.7,-0.065,1.669,STABLE,0.709,COMP-039,rain,
GCO-01538,1842-07-12,SV-20,Torren Voss,Little Yard,Capital,NW-6,45.381,5.21,13.808,46.115,3.94,14.659,-0.734,1.27,-0.851,1.696,STABLE,0.702,COMP-023,fog,
GCO-00432,1842-07-13,SV-14,Levin Cross,Little Yard,Capital,NW-6,45.126,3.326,14.437,46.115,3.94,14.659,-0.989,-0.614,-0.221,1.185,STABLE,0.76,COMP-006,rain,
GCO-03915,1842-07-15,SV-01,Kellis Dorn,East Square,Capital,NW-2,38.108,49.595,42.008,38.653,49.261,42.766,-0.545,0.334,-0.758,0.991,STABLE,0.892,COMP-001,clear,
GCO-03048,1842-07-17,SV-24,Kellin Ward,Little Yard,Capital,NW-6,45.968,3.08,14.546,46.115,3.94,14.659,-0.147,-0.86,-0.113,0.88,STABLE,0.747,COMP-012,clear,
GCO-01628,1842-07-18,SV-02,Mira Strand,Little Yard,Capital,NW-6,46.093,3.744,15.798,46.115,3.94,14.659,-0.022,-0.196,1.139,1.156,STABLE,0.708,COMP-038,cloudy,
GCO-00451,1842-07-19,SV-08,Tessyn Ward,Little Yard,Capital,NW-6,45.955,4.705,15.353,46.115,3.94,14.659,-0.159,0.765,0.694,1.045,STABLE,0.726,COMP-013,clear,
GCO-02604,1842-07-20,SV-04,Pella Morse,Little Yard,Capital,NW-6,45.791,3.912,14.811,46.115,3.94,14.659,-0.324,-0.028,0.152,0.359,STABLE,0.767,COMP-011,clear,
GCO-01939,1842-07-24,SV-21,Mellen Pike,Little Yard,Capital,NW-6,46.955,4.035,12.854,46.115,3.94,14.659,0.84,0.095,-1.805,1.994,STABLE,0.942,COMP-017,rain,
GCO-00686,1842-07-25,SV-16,Hellis Mord,East Square,Capital,NW-2,37.577,49.032,41.562,38.653,49.261,42.766,-1.076,-0.229,-1.204,1.631,STABLE,0.863,COMP-025,clear,
GCO-02378,1842-07-25,SV-25,Terris Bloom,Little Yard,Capital,NW-6,47.24,3.27,14.678,46.115,3.94,14.659,1.125,-0.67,0.019,1.31,MODERATE,0.987,COMP-028,rain,
GCO-02191,1842-07-27,SV-22,Garris Stone,East Plaza (Capital),Capital,NW-8,27.84,35.729,10.996,28.359,35.896,10.631,-0.519,-0.167,0.364,0.656,STABLE,0.909,COMP-044,clear,
GCO-03082,1842-07-27,SV-29,Corren Dale,Little Yard,Capital,NW-6,45.712,2.816,14.935,46.115,3.94,14.659,-0.403,-1.124,0.276,1.226,STABLE,0.954,COMP-039,rain,
GCO-01968,1842-07-28,SV-19,Nerin Kale,Little Yard,Capital,NW-6,45.503,3.643,12.885,46.115,3.94,14.659,-0.612,-0.297,-1.774,1.9,STABLE,0.943,COMP-011,fog,
GCO-04290,1842-07-28,SV-29,Corren Dale,Little Yard,Capital,NW-6,45.739,3.1,14.103,46.115,3.94,14.659,-0.376,-0.84,-0.556,1.075,STABLE,0.954,COMP-028,cloudy,
GCO-01253,1842-08-01,SV-02,Mira Strand,East Square,Capital,NW-2,39.84,49.92,43.719,38.653,49.261,42.766,1.187,0.659,0.953,1.659,STABLE,0.708,COMP-047,cloudy,
GCO-03916,1842-08-01,SV-03,Vornis Keth,Little Yard,Capital,NW-6,46.626,4.662,14.747,46.115,3.94,14.659,0.511,0.722,0.088,0.889,STABLE,0.783,COMP-018,fog,
GCO-03135,1842-08-04,SV-24,Kellin Ward,Little Yard,Capital,NW-6,45.869,5.051,14.987,46.115,3.94,14.659,-0.246,1.111,0.328,1.184,STABLE,0.747,COMP-002,cloudy,
GCO-02505,1842-08-05,SV-04,Pella Morse,Little Yard,Capital,NW-6,46.448,3.103,14.928,46.115,3.94,14.659,0.333,-0.837,0.269,0.941,STABLE,0.767,COMP-027,cloudy,
GCO-02447,1842-08-07,SV-19,Nerin Kale,Little Yard,Capital,NW-6,45.856,3.801,14.397,46.115,3.94,14.659,-0.258,-0.139,-0.262,0.393,STABLE,0.943,COMP-048,clear,
GCO-00138,1842-08-08,SV-14,Levin Cross,Little Yard,Capital,NW-6,46.06,4.327,14.489,46.115,3.94,14.659,-0.055,0.387,-0.17,0.426,STABLE,0.76,COMP-011,cloudy,
GCO-01045,1842-08-09,SV-30,Merris Glen,East Square,Capital,NW-2,39.063,48.706,42.516,38.653,49.261,42.766,0.41,-0.555,-0.25,0.734,STABLE,0.881,COMP-002,clear,
GCO-04446,1842-08-10,SV-13,Anster Cole,Little Yard,Capital,NW-6,46.262,5.063,15.047,46.115,3.94,14.659,0.147,1.123,0.388,1.197,STABLE,0.708,COMP-049,clear,
GCO-02241,1842-08-11,SV-25,Terris Bloom,Little Yard,Capital,NW-6,45.173,3.345,14.169,46.115,3.94,14.659,-0.942,-0.595,-0.49,1.217,STABLE,0.987,COMP-030,cloudy,
GCO-04445,1842-08-11,SV-19,Nerin Kale,Little Exchange (Capital),Capital,NW-2,7.69,18.189,33.613,8.133,17.764,33.509,-0.443,0.425,0.104,0.623,STABLE,0.943,COMP-038,clear,
GCO-04881,1842-08-12,SV-27,Sellin Brook,Little Yard,Capital,NW-6,46.802,4.23,14.157,46.115,3.94,14.659,0.687,0.29,-0.502,0.899,STABLE,0.728,COMP-036,cloudy,
GCO-02477,1842-08-14,SV-11,Erris Dann,Little Yard,Capital,NW-6,45.46,5.057,14.663,46.115,3.94,14.659,-0.655,1.117,0.005,1.295,STABLE,0.766,COMP-022,clear,
GCO-04918,1842-08-14,SV-05,Tobin Creel,Little Yard,Capital,NW-6,46.609,3.42,14.18,46.115,3.94,14.659,0.494,-0.52,-0.479,0.863,STABLE,0.921,COMP-045,clear,
GCO-02274,1842-08-15,SV-24,Kellin Ward,East Plaza (Capital),Capital,NW-8,28.382,36.519,10.911,28.359,35.896,10.631,0.023,0.623,0.279,0.683,STABLE,0.747,COMP-007,cloudy,
GCO-00116,1842-08-16,SV-10,Kella Tross,Little Yard,Capital,NW-6,45.463,2.983,13.878,46.115,3.94,14.659,-0.652,-0.957,-0.78,1.396,STABLE,0.709,COMP-045,clear,
GCO-03614,1842-08-17,SV-24,Kellin Ward,Lower Station,Capital,NW-4,30.002,47.898,46.802,30.33,48.218,46.446,-0.328,-0.32,0.356,0.58,STABLE,0.747,COMP-028,cloudy,
GCO-01558,1842-08-18,SV-06,Sareth Vell,Little Yard,Capital,NW-6,45.836,3.384,18.48,46.115,3.94,14.659,-0.279,-0.556,3.821,3.871,MODERATE,0.903,COMP-011,clear,
GCO-00617,1842-08-19,SV-22,Garris Stone,Little Yard,Capital,NW-6,45.164,4.2,14.959,46.115,3.94,14.659,-0.951,0.26,0.3,1.03,STABLE,0.909,COMP-011,clear,
GCO-04163,1842-08-20,SV-01,Kellis Dorn,Little Yard,Capital,NW-6,45.966,5.459,15.422,46.115,3.94,14.659,-0.149,1.519,0.763,1.706,STABLE,0.892,COMP-014,cloudy,
GCO-00511,1842-08-22,SV-05,Tobin Creel,Little Yard,Capital,NW-6,44.039,4.519,15.981,46.115,3.94,14.659,-2.075,0.579,1.322,2.528,MODERATE,0.921,COMP-020,clear,
GCO-00766,1842-08-24,SV-15,Darren Pol,Little Yard,Capital,NW-6,46.995,6.101,12.053,46.115,3.94,14.659,0.881,2.161,-2.606,3.498,MODERATE,0.895,COMP-015,rain,
GCO-04348,1842-08-26,SV-02,Mira Strand,Little Tower,Capital,NW-7,12.51,27.675,12.48,12.331,28.068,13.137,0.179,-0.394,-0.657,0.786,STABLE,0.708,COMP-028,clear,
GCO-04726,1842-08-27,SV-18,Sollis Hern,Little Yard,Capital,NW-6,45.648,2.711,15.43,46.115,3.94,14.659,-0.467,-1.229,0.771,1.525,STABLE,0.877,COMP-008,cloudy,
GCO-04727,1842-08-27,SV-30,Merris Glen,Little Tower,Capital,NW-7,12.167,27.688,13.026,12.331,28.068,13.137,-0.164,-0.38,-0.111,0.429,STABLE,0.881,COMP-038,rain,
GCO-03788,1842-08-30,SV-23,Pellin Marsh,East Plaza (Capital),Capital,NW-8,28.042,36.115,10.023,28.359,35.896,10.631,-0.317,0.219,-0.608,0.72,STABLE,0.802,COMP-025,clear,
GCO-00790,1842-09-02,SV-10,Kella Tross,Little Yard,Capital,NW-6,45.376,3.703,15.954,46.115,3.94,14.659,-0.739,-0.237,1.295,1.51,STABLE,0.709,COMP-029,clear,
GCO-01455,1842-09-03,SV-02,Mira Strand,Little Yard,Capital,NW-6,44.649,3.624,14.606,46.115,3.94,14.659,-1.466,-0.316,-0.053,1.5,MODERATE,0.708,COMP-004,cloudy,
GCO-01870,1842-09-03,SV-06,Sareth Vell,Inner Landing,Capital,NW-1,49.027,24.933,4.621,49.877,25.476,4.545,-0.85,-0.544,0.076,1.011,STABLE,0.903,COMP-015,clear,Obstructed view
GCO-03400,1842-09-04,SV-23,Pellin Marsh,East Square,Capital,NW-2,39.744,50.902,43.63,38.653,49.261,42.766,1.091,1.641,0.864,2.151,STABLE,0.802,COMP-011,rain,
GCO-04400,1842-09-10,SV-03,Vornis Keth,Little Yard,Capital,NW-6,46.001,4.164,14.028,46.115,3.94,14.659,-0.113,0.224,-0.631,0.679,STABLE,0.783,COMP-030,cloudy,
GCO-02597,1842-09-11,SV-28,Varren Hill,Little Exchange (Capital),Capital,NW-2,9.578,18.289,33.761,8.133,17.764,33.509,1.446,0.525,0.252,1.559,STABLE,0.729,COMP-047,fog,
GCO-04859,1842-09-13,SV-17,Varian Kess,Little Yard,Capital,NW-6,45.312,4.462,12.835,46.115,3.94,14.659,-0.802,0.522,-1.823,2.059,STABLE,0.766,COMP-030,rain,
GCO-03974,1842-09-14,SV-28,Varren Hill,Little Yard,Capital,NW-6,45.543,4.78,15.008,46.115,3.94,14.659,-0.572,0.84,0.349,1.074,STABLE,0.729,COMP-037,clear,
GCO-04515,1842-09-14,SV-25,Terris Bloom,Little Yard,Capital,NW-6,44.965,2.599,15.925,46.115,3.94,14.659,-1.15,-1.341,1.266,2.173,MODERATE,0.987,COMP-030,rain,
GCO-04272,1842-09-17,SV-26,Norris Vale,East Square,Capital,NW-2,37.064,49.579,42.066,38.653,49.261,42.766,-1.589,0.317,-0.7,1.765,STABLE,0.801,COMP-012,cloudy,
GCO-02623,1842-09-18,SV-19,Nerin Kale,Little Yard,Capital,NW-6,46.911,4.509,14.999,46.115,3.94,14.659,0.796,0.569,0.34,1.036,STABLE,0.943,COMP-020,clear,
GCO-01871,1842-09-19,SV-07,Rellen Foss,East Square,Capital,NW-2,38.4,49.466,43.985,38.653,49.261,42.766,-0.254,0.205,1.219,1.262,STABLE,0.968,COMP-027,rain,
GCO-03289,1842-09-19,SV-05,Tobin Creel,East Square,Capital,NW-2,38.203,49.793,43.921,38.653,49.261,42.766,-0.451,0.532,1.155,1.349,STABLE,0.921,COMP-050,clear,
GCO-02701,1842-09-20,SV-25,Terris Bloom,Little Yard,Capital,NW-6,46.044,4.874,14.233,46.115,3.94,14.659,-0.071,0.934,-0.426,1.029,STABLE,0.987,COMP-050,cloudy,
GCO-00817,1842-09-22,SV-24,Kellin Ward,Little Yard,Capital,NW-6,46.26,4.332,14.245,46.115,3.94,14.659,0.145,0.392,-0.414,0.588,STABLE,0.747,COMP-048,clear,
GCO-03604,1842-09-22,SV-07,Rellen Foss,Little Yard,Capital,NW-6,47.074,5.168,14.524,46.115,3.94,14.659,0.959,1.228,-0.135,1.564,STABLE,0.968,COMP-035,rain,
GCO-00532,1842-09-24,SV-09,Archon Mills,Deep Cross,Yeller,SE-8,691.154,385.207,351.141,690.241,384.313,366.982,0.913,0.894,-15.841,15.893,MODERATE,0.827,COMP-029,cloudy,
GCO-02561,1842-09-24,SV-03,Vornis Keth,Little Exchange (Capital),Capital,NW-2,7.782,17.784,33.179,8.133,17.764,33.509,-0.351,0.02,-0.329,0.482,STABLE,0.783,COMP-042,cloudy,
